n,capacity,time_s,peak_mem_kb
20,100,0.003935699998692144,34
20,200,0.008041599998250604,83
20,400,0.020754900000611087,200
20,800,0.052506100000755396,441
50,100,0.009099099999730242,59
50,200,0.021229800000583054,156
50,400,0.05547809999916353,416
50,800,0.14287179999882937,1045
100,100,0.019051800001761876,123
100,200,0.043164499998965766,305
100,400,0.1117484999995213,743
100,800,0.2714736999987508,1817
